symbol_or_expression,occurrences,source_notes
delay,1,10_ROBLOX_LUAU_REFERENCE.md
docs: add native 56-slot component reconciliation ledger,1,31_COMPONENT_56_SLOT_RECONCILIATION.md
docs: document native weapon parameter contract,1,34_NATIVE_WEAPON_PARAMETER_CONTRACT.md
e,2,01_GAME_STRUCTURE_INVENTORY.md
e.g,1,DEFINITIVE_VALUES/JAR_SEMANTIC_DOMAIN_MAP.md
ecb,1,19_RAW_PHYSICS_OPERATOR_RECOVERY.md
ecb.a,5,19_RAW_PHYSICS_OPERATOR_RECOVERY.md
ecb.java,4,19_RAW_PHYSICS_OPERATOR_RECOVERY.md; 21_NATIVE_DEBRIS_LAUNCH_MAPPING.md
ef32740a0286697b09f07616c71b61d0265bde5c,1,22_MISSION_FRAMEWORK_MIGRATION.md
EMP,1,01_GAME_STRUCTURE_INVENTORY.md
enb.c,2,29_NATIVE_THRUSTER_OPERATOR_RECOVERY.md
enb.java,4,29_NATIVE_THRUSTER_OPERATOR_RECOVERY.md
Energy,1,01_GAME_STRUCTURE_INVENTORY.md
eo.java,2,00_RAW_FORENSIC_REFERENCE.md
eo.o,1,00_RAW_FORENSIC_REFERENCE.md
eo.o[],1,00_RAW_FORENSIC_REFERENCE.md
eu,1,30_NATIVE_THRUSTER_BINDING_RECOVERY.md
eu.a,5,29_NATIVE_THRUSTER_OPERATOR_RECOVERY.md; 30_NATIVE_THRUSTER_BINDING_RECOVERY.md
eu.a(),1,29_NATIVE_THRUSTER_OPERATOR_RECOVERY.md
eu.a(angle),1,30_NATIVE_THRUSTER_BINDING_RECOVERY.md
eu.java,5,29_NATIVE_THRUSTER_OPERATOR_RECOVERY.md; 30_NATIVE_THRUSTER_BINDING_RECOVERY.md
ExampleService.__index,1,10_ROBLOX_LUAU_REFERENCE.md
ExampleService.new,1,10_ROBLOX_LUAU_REFERENCE.md
Explosive,1,01_GAME_STRUCTURE_INVENTORY.md
EXTRACTED,1,00_SOURCE_INDEX.md
EXTRACTED / IMPLEMENTED / PARTIAL,1,33_NATIVE_PHYSICS_CONFIG_RECONCILIATION.md
F,1,01_GAME_STRUCTURE_INVENTORY.md
f,1,01_GAME_STRUCTURE_INVENTORY.md
f += t / divisor,1,35_JAR_BYTECODE_PHYSICS_VERIFICATION.md
f += t / n3,1,19_RAW_PHYSICS_OPERATOR_RECOVERY.md
f[],1,01_GAME_STRUCTURE_INVENTORY.md
